ramal,estacao,ano,passageiros
Santa Cruz,Realengo,1998,127.768
Santa Cruz,Realengo,1999,262.958
Santa Cruz,Realengo,2000,347.112
Santa Cruz,Padre Miguel,1995,159.412
Santa Cruz,Padre Miguel,1996,97.725
Santa Cruz,Padre Miguel,1997,48.089
Santa Cruz,Padre Miguel,1998,143.688
Santa Cruz,Padre Miguel,1999,348.79
Santa Cruz,Padre Miguel,2000,460.412
Santa Cruz,Guilherme Silveira,1995,229.363
Santa Cruz,Guilherme Silveira,1996,145.528
Santa Cruz,Guilherme Silveira,1997,83.081
Santa Cruz,Guilherme Silveira,1998,81.821
Santa Cruz,Guilherme Silveira,1999,151.436
Santa Cruz,Guilherme Silveira,2000,199.9
Santa Cruz,Bangu,1995,711.283
Santa Cruz,Bangu,1996,540.592
Santa Cruz,Bangu,1997,339.182
Santa Cruz,Bangu,1998,292.985
Santa Cruz,Bangu,1999,563.243
Santa Cruz,Bangu,2000,743.496
Santa Cruz,Senador Camará,1995,496.913
Santa Cruz,Senador Camará,1996,308.352
Santa Cruz,Senador Camará,1997,171.627
Santa Cruz,Senador Camará,1998,223.396
Santa Cruz,Senador Camará,1999,455.746
Santa Cruz,Senador Camará,2000,601.597
Santa Cruz,Santíssimo ,1995,211.212
Santa Cruz,Santíssimo ,1996,142.929
Santa Cruz,Santíssimo ,1997,82.427
Santa Cruz,Santíssimo ,1998,93.328
Santa Cruz,Santíssimo ,1999,181.242
Santa Cruz,Santíssimo ,2000,239.244
Santa Cruz,Augusto Vasconcelos,1995,180.328
Santa Cruz,Augusto Vasconcelos,1996,104.697
Santa Cruz,Augusto Vasconcelos,1997,59.303
Santa Cruz,Augusto Vasconcelos,1998,92.207
Santa Cruz,Augusto Vasconcelos,1999,189.037
Santa Cruz,Augusto Vasconcelos,2000,249.534
Santa Cruz,Campo Grande,1995,2154.763
Santa Cruz,Campo Grande,1996,1545.05
Santa Cruz,Campo Grande,1997,949.841
Santa Cruz,Campo Grande,1998,768.653
Santa Cruz,Campo Grande,1999,1296.935
Santa Cruz,Campo Grande,2000,1711.989
Santa Cruz,Benjamim do Monte,1995,225.738
Santa Cruz,Benjamim do Monte,1996,91.603
